5/1/2021 10:21:36 PM /Shop/customers/2
 5/1/2021 10:24:30 PM /Shop/customers/2
 5/7/2021 6:09:27 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:09:27 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:09:28 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:09:28 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:09:30 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:16:36 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:17:09 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 6:17:16 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:20:54 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:04 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:13 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 6:21:19 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:21 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:21 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:21 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:22 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:23 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:21:23 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:23:35 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
